iter	Passed	Remaining
409	5329	857
410	5340	844
411	5351	831
412	5362	818
413	5373	804
414	5384	791
415	5397	778
416	5409	765
417	5421	752
418	5434	739
419	5446	726
420	5459	713
421	5470	699
422	5485	687
423	5531	678
424	5553	666
425	5565	653
426	5579	640
427	5592	627
428	5605	614
429	5615	600
430	5627	587
431	5639	574
432	5652	561
433	5663	548
434	5675	534
435	5686	521
436	5699	508
437	5711	495
438	5724	482
439	5736	469
440	5747	456
441	5759	443
442	5771	429
443	5784	416
444	5796	403
445	5810	390
446	5822	377
447	5833	364
448	5844	351
449	5856	338
450	5867	325
451	5878	312
452	5893	299
453	5905	286
454	5916	273
455	5928	260
456	5940	246
457	5951	233
458	5962	220
459	5976	207
460	5987	194
461	5998	181
462	6010	168
463	6022	155
464	6034	142
465	6045	129
466	6057	116
467	6069	103
468	6081	90
469	6091	77
470	6105	64
471	6115	51
472	6126	38
473	6138	25
474	6152	12
475	6163	0
